id_dato,id_sede,tipo_dato,valor,region_geografica
1,CALEG,twitter,https://twitter.com/ArgPortoAlegre,AMÉRICA  DEL  SUR
2,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/,AMÉRICA  DEL  SUR
3,CALEG,instagram,https://www.instagram.com/argenportoalegre/,AMÉRICA  DEL  SUR
4,CALEG,sitio_web,https://caleg.cancilleria.gob.ar,AMÉRICA  DEL  SUR
5,CANTO,facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/,AMÉRICA  DEL  SUR
6,CANTO,instagram,https://www.instagram.com/consulargantofagasta/,AMÉRICA  DEL  SUR
7,CANTO,sitio_web,https://canto.cancilleria.gob.ar/,AMÉRICA  DEL  SUR
8,CAREN,facebook,https://www.facebook.com/profile.php?id=100014152878593,AMÉRICA  DEL  SUR
9,CAREN,sitio_web,https://caren.cancilleria.gob.ar/,AMÉRICA  DEL  SUR
10,CASUN,sitio_web,https://www.casun.mrecic.gov.ar,AMÉRICA  DEL  SUR
11,CATLA,instagram,https://instagram.com/ARGenAtlanta,AMÉRICA  DEL  NORTE
12,CATLA,facebook,https://facebook.com/ARGenAtlanta,AMÉRICA  DEL  NORTE
13,CATLA,otro,https://www.linkedin.com/company/ARGenAtlanta,AMÉRICA  DEL  NORTE
14,CATLA,twitter,https://x.com/ARGenAtlanta,AMÉRICA  DEL  NORTE
15,CATLA,sitio_web,https://www.catla.mrecic.gov.ar,AMÉRICA  DEL  NORTE
16,CBARC,facebook,https://www.facebook.com/ArgEnBarcelona/,EUROPA  OCCIDENTAL
17,CBARC,twitter,https://twitter.com/argenbarcelona,EUROPA  OCCIDENTAL
18,CBARC,instagram,https://www.instagram.com/argenbarcelona/,EUROPA  OCCIDENTAL
19,CBARC,youtube,https://www.youtube.com/@consuladoargentinoenbarcel2664,EUROPA  OCCIDENTAL
20,CBARC,otro,https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona,EUROPA  OCCIDENTAL
21,CBARC,sitio_web,https://cbarc.cancilleria.gob.ar/,EUROPA  OCCIDENTAL
