id_sede,nombre,tipo,country_code
CALEG,Consulado  General  en  Porto  Alegre,Consulado,BRA
CANTO,Consulado  en  Antofagasta,Consulado,CHL
CAREN,Consulado  General  en  Punta  Arenas,Consulado,CHL
CASUN,Consulado  General  en  Asunción,Consulado,PRY
CATLA,Consulado  General  en  Atlanta,Consulado,USA
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,Consulado  General  y  Centro  de  Promoción ,ESP
CBEIJ,Sección  Consular  en  Beijing,Consulado,CHN
CBELO,Consulado  General  en  Belo  Horizonte,Consulado,BRA
CBONN,Consulado  en  Bonn,Consulado,DEU
CCADI,Consulado  en  Cádiz,Consulado,ESP
CCEST,Consulado  General  en  Ciudad  del  Este,Consulado,PRY
CCHIC,Consulado  General  en  Chicago,Consulado,USA
CCOCH,Consulado  en  Cochabamba,Consulado,BOL
CCOLO,Consulado  en  Colonia,Consulado,URY
CCONC,Consulado  en  Concepción,Consulado,CHL
CCURI,Consulado  en  Curitiba,Consulado,BRA
CENCA,Consulado  General  en  Encarnación,Consulado,PRY
CFBEN,Consulado  en  Fray  Bentos,Consulado,URY
CFDIG,Consulado  en  Foz  de  Iguazu,Consulado,BRA
CFLOR,Consulado  en  Florianopolis,Consulado,BRA
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,Consulado  General  y  Centro  de  Promoción ,DEU
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,Consulado  General  y  Centro  de  Promoción ,TUR
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,Consulado  General  y  Centro  de  Promoción ,IND
CGPAZ,Consulado  General  en  La  Paz,Consulado,BOL
CGTEL,Consulado  General  en  Tel  Aviv,Consulado,ISR
CGUAN,Consulado  General  en  Guangzhou,Consulado,CHN
CGUAY,Consulado  en  Guayaquil,Consulado,ECU
CGVAN,Consulado  General  en  Vancouver,Consulado,CAN
CHAMB,Consulado  General  en  Hamburgo,Consulado,DEU
CHONG,Consulado  General  en  Hong  Kong,Consulado,CHN
CHOUS,Consulado  General  en  Houston,Consulado,USA
CJOHA,Consulado  General  en  Johannesburgo,Consulado,ZAF
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Consulado  General  y  Centro  de  Promoción ,USA
CLIMA,Consulado  General  en  Lima,Consulado,PER
CLOND,Consulado  General  en  Londres,Consulado,GRB
CMADR,Consulado  General  en  Madrid,Consulado,ESP
CMALD,Consulado  en  Maldonado,Consulado,URY
CMALL,Consulado  en  Palma,Consulado,ESP
CMDEO,Consulado  General  en  Montevideo,Consulado,URY
CMEXI,Consulado  General  en  México,Consulado,MEX
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,Consulado  General  y  Centro  de  Promoción ,USA
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,Consulado  General  y  Centro  de  Promoción ,ITA
CMREA,Consulado  General  en  Montreal,Consulado,CAN
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Consulado  General  y  Centro  de  Promoción ,USA
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,Consulado  General  y  Centro  de  Promoción ,BRA
CPAYS,Consulado  en  Paysandú,Consulado,URY
CPCAR,Consulado  en  Playa  del  Carmen,Consulado,MEX
CPMON,Consulado  en  Puerto  Montt,Consulado,CHL
CRECI,Consulado  en  Recife,Consulado,BRA
