País,Sede,Red Social,URL
Algeria,EARGE,sitio_web,https://earge.cancilleria.gob.ar/
Algeria,EARGE,facebook,https://facebook.com/ArgentinaEnArgelia
Algeria,EARGE,instagram,https://instagram.com/argenargelia
Algeria,EARGE,twitter,https://twitter.com/ARGenArgelia
Angola,EANGO,sitio_web,https://eango.mrecic.gov.ar
Angola,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
Angola,EANGO,facebook,https://www.facebook.com/ArgentinaEnAngola/
Argentina,DIGAC,sitio_web,https://cancilleria.gob.ar
Armenia,EARME,instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,facebook,https://www.facebook.com/ArgentinaEnArmenia
Armenia,EARME,sitio_web,https://earme.cancilleria.gob.ar
Armenia,EARME,twitter,https://twitter.com/ARGinArmenia
Australia,CSIDN,sitio_web,http://csidn.mrecic.gov.ar
Australia,EAUST,sitio_web,http://eaust.mrecic.gov.ar
Australia,EAUST,twitter,https://twitter.com/ARGinAustralia
Australia,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
Australia,CSIDN,instagram,https://www.instagram.com/argentinaensydney/
Australia,CSIDN,facebook,https://www.facebook.com/ArgentinaEnSidney/
Austria,ETRIA,sitio_web,https://etria.cancilleria.gob.ar
Austria,ETRIA,instagram,https://www.instagram.com/argenviena/
Austria,ETRIA,twitter,https://twitter.com/ARGenViena
Austria,ETRIA,facebook,https://www.facebook.com/ArgentinaEnAustria/
Azerbaijan,EAZER,twitter,https://www.twitter.com/ARGEnAzer
Azerbaijan,EAZER,instagram,https://www.instagram.com/embargentinaaz
Azerbaijan,EAZER,sitio_web,https://eazer.cancilleria.gob.ar
Azerbaijan,EAZER,facebook,https://www.facebook.com/EmbassyOfArgentina/
Bangladesh,EBANG,otro,https://embajada.argentina.en.bangladesh
Bangladesh,EBANG,otro,https://www.linkedin.com/showcase/argenbangladesh/
Bangladesh,EBANG,sitio_web,https://ebang.cancilleria.gob.ar
Barbados,EBARB,sitio_web,https://ebarb.cancilleria.gob.ar
Barbados,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
Belgium,ECEUR,facebook,https://www.facebook.com/ARGanteUE
Belgium,ECEUR,otro,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,twitter,https://twitter.com/ARGanteUE
Belgium,ECEUR,youtube,https://www.youtube.com/@ARGanteUE
Belgium,ECEUR,instagram,https://www.instagram.com/arganteue/
Belgium,ECEUR,sitio_web,https://eceur.cancilleria.gob.ar
Belgium,EBELG,sitio_web,http://ebelg.cancilleria.gob.ar
Belgium,EBELG,instagram,https://www.instagram.com/argenbelgica/
Belgium,EBELG,facebook,https://www.facebook.com/ArgentinaEnBelgica/
Bolivia,CSCRS,facebook,https://www.facebook.com/profile.php?id=100069410160459&mibextid=ZbWKwL
Bolivia,CCOCH,facebook,https://www.facebook.com/ArgentinaEnCochabamba/
Bolivia,CCOCH,sitio_web,https://ccoch.cancilleria.gob.ar
Bolivia,CYACU,sitio_web,https://cyacu.cancilleria.gob.ar
Bolivia,CVILL,sitio_web,https://cvill.cancilleria.gob.ar
Bolivia,CVILL,twitter,https://twitter.com/ArgentinaenVill
Bolivia,CVILL,facebook,https://www.facebook.com/ConsuladoArgentinoenVillazon
Bolivia,CTARI,sitio_web,https://ctari.mrecic.gov.ar
Bolivia,CGPAZ,sitio_web,https://cgpaz.cancilleria.gob.ar
Bolivia,CSCRS,instagram,https://www.instagram.com/consuladoargentinoscz
Bolivia,EBOLV,sitio_web,https://ebolv.mrecic.gov.ar
Bolivia,CSCRS,sitio_web,https://cscrs.cancilleria.gob.ar/
Brazil,CRIOJ,facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
Brazil,CFDIG,twitter,https://twitter.com/argentinaenfoz
Brazil,CFDIG,facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
Brazil,CFDIG,instagram,https://www.instagram.com/argentinaenfoz/
Brazil,CFDIG,sitio_web,https://cfdig.cancilleria.gob.ar
Brazil,CFLOR,facebook,https://www.facebook.com/cflor.mrecic.gov.ar
Brazil,CFLOR,sitio_web,https://cflor.mrecic.gov.ar
Brazil,CALEG,instagram,https://www.instagram.com/argenportoalegre/
Brazil,EBRAS,instagram,https://www.instagram.com/embaargenbrasil
Brazil,CCURI,sitio_web,https://ccuri.cancilleria.gob.ar
Brazil,CCURI,twitter,https://twitter.com/ARGenCuri
Brazil,CCURI,instagram,https://instagram.com/argEncuritiba
Brazil,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
Brazil,CRECI,instagram,https://www.instagram.com/consuladoargentinorecife
Brazil,CRECI,facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
Brazil,EBRAS,twitter,https://twitter.com/ArgentinaEnBras
Brazil,EBRAS,facebook,https://www.facebook.com/embargbrasil
Brazil,EBRAS,sitio_web,https://ebras.cancilleria.gob.ar
Brazil,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
Brazil,CALEG,sitio_web,https://caleg.cancilleria.gob.ar
Brazil,CPABL,sitio_web,https://www.cpabl.mrecic.gov.ar
